species	taxon	n_genomes	has_SmLsm	has_Hfq	total_SmLsm_hits	total_Hfq_hits
Candidatus Borrarchaeum sp.	Asgardarchaeota	1	Y	N	2	0
Candidatus Flexarchaeum multiprotrusionis	Asgardarchaeota	1	N	N	0	0
Candidatus Hodarchaeum mangrovi	Asgardarchaeota	2	Y	N	4	0
Candidatus Jordarchaeum sp.	Asgardarchaeota	5	Y	N	13	0
Candidatus Jordarchaeum sp. ERP4	Asgardarchaeota	1	Y	N	3	0
Candidatus Margulisarchaeum peptidophila	Asgardarchaeota	1	Y	N	2	0
Candidatus Harpocratesius sp.	Lokiarchaeia	1	Y	N	3	0
Candidatus Lokiarchaeum ossiferum	Lokiarchaeia	2	Y	N	6	0
Promethearchaeum sp.	Lokiarchaeia	4	Y	N	8	0
Promethearchaeum syntrophicum	Lokiarchaeia	1	Y	N	3	0
Candidatus Bilamarchaeum sp.	Micrarchaeota	1	Y	N	1	0
Candidatus Burarchaeum sp.	Micrarchaeota	1	Y	N	1	0
Candidatus Mancarchaeum acidiphilum	Micrarchaeota	1	Y	N	1	0
Candidatus Micrarchaeum sp.	Micrarchaeota	1	Y	N	1	0
Candidatus Nanobsidianus stetteri	Nanoarchaeota	1	Y	N	1	0
Candidatus Nanopusillus sp.	Nanoarchaeota	13	Y	N	11	0
Nanoarchaeum equitans Kin4-M	Nanoarchaeota	1	Y	N	1	0
Nanobdella aerobiophila	Nanoarchaeota	1	Y	N	1	0
Candidatus Nanohalobium constans	Nanohaloarchaeota	1	Y	N	1	0
Candidatus Nanohalococcus occultus	Nanohaloarchaeota	2	Y	N	2	0
Candidatus Nanohalovita haloferacivicina	Nanohaloarchaeota	1	Y	N	1	0
Candidatus Acidifodinimicrobium mancum	Parvarchaeota	4	Y	N	1	0
Candidatus Acidifodinimicrobium sp.	Parvarchaeota	3	Y	N	3	0
