species	taxon	n_genomes	has_SmLsm	has_Hfq	total_SmLsm_hits	total_Hfq_hits
Candidatus Absconditicoccus praedator	Candidatus Absconditabacteria	1	N	N	0	0
Candidatus Vampirococcus lugosii	Candidatus Absconditabacteria	1	N	N	0	0
Strigamonas methylophilicida	Candidatus Absconditabacteria	1	N	N	0	0
Candidatus Chazhemtobacterium aquaticus	Patescibacteria	1	N	N	0	0
Candidatus Microsaccharimonas sp.	Saccharibacteria	2	N	N	0	0
Candidatus Minimicrobia naudis	Saccharibacteria	1	N	N	0	0
Candidatus Minimicrobia sp. IHU4	Saccharibacteria	1	N	N	0	0
Candidatus Minimicrobia sp. QA0096	Saccharibacteria	1	N	N	0	0
Candidatus Minimicrobia vallesae	Saccharibacteria	1	N	N	0	0
Candidatus Mycosynbacter amalyticus	Saccharibacteria	1	N	N	0	0
Candidatus Nanogingivalis gingivitcus	Saccharibacteria	1	N	N	0	0
Candidatus Nanoperiomorbus periodonticus	Saccharibacteria	2	N	N	0	0
Candidatus Nanosyncoccus alces	Saccharibacteria	1	N	N	0	0
Candidatus Nanosyncoccus nanoralicus	Saccharibacteria	1	N	N	0	0
Candidatus Nanosyncoccus sp.	Saccharibacteria	377	N	N	0	0
Candidatus Nanosynsacchari sp. TM7_ANC_38.39_G1_1	Saccharibacteria	1	N	N	0	0
Candidatus Saccharimonas aalborgensis	Saccharibacteria	1	N	N	0	0
Candidatus Southlakia epibionticum	Saccharibacteria	1	N	N	0	0
uncultured Candidatus Nanosyncoccus sp.	Saccharibacteria	1	N	N	0	0
