accession	taxon	species	completeness	n_SmLsm	n_Hfq
GCA_055692645.1	Candidatus Absconditabacteria	Strigamonas methylophilicida	80.88	0	0
GCF_018420025.1	Candidatus Absconditabacteria	Candidatus Vampirococcus lugosii	80.88	0	0
GCF_021057185.1	Candidatus Absconditabacteria	Candidatus Absconditicoccus praedator	82.6	0	0
GCF_009936135.1	Patescibacteria	Candidatus Chazhemtobacterium aquaticus	80.72	0	0
GCA_036569385.1	Saccharibacteria	Candidatus Microsaccharimonas sp.	76.57	0	0
GCA_036569465.1	Saccharibacteria	Candidatus Microsaccharimonas sp.	82.26	0	0
GCA_052829825.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.58	0	0
GCA_052830325.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	78.68	0	0
GCA_052831185.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	76.41	0	0
GCA_052833645.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.09	0	0
GCA_057293895.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057293915.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057293995.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294015.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057294035.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294095.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	66.93	0	0
GCA_057294135.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057294155.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294215.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294255.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294275.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294285.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294375.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057294415.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.64	0	0
GCA_057294435.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294495.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	70.61	0	0
GCA_057294515.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	70.53	0	0
GCA_057294535.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	68.81	0	0
GCA_057294615.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294655.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057294675.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	74.84	0	0
GCA_057294735.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057294755.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294785.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294855.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057294875.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057294915.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	77.43	0	0
GCA_057294975.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057294995.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295055.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.98	0	0
GCA_057295095.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	76.57	0	0
GCA_057295115.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295175.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295215.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295235.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295255.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295335.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.64	0	0
GCA_057295355.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057295375.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295435.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
GCA_057295455.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295475.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295555.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295595.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295615.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295635.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295655.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	75.86	0	0
GCA_057295675.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	81.03	0	0
GCA_057295695.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295715.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295735.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295755.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295775.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	83.98	0	0
GCA_057295795.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295815.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	82.6	0	0
GCA_057295835.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295855.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295875.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	84.33	0	0
GCA_057295895.1	Saccharibacteria	Candidatus Nanosyncoccus sp.	80.88	0	0
